,Wavelength,SPIRE_500,SPIRE_350,SPIRE_250,dnu
0,166.671,1.12827e-11,4.85009e-07,0.000167652,-2933316080.42
1,166.949,-6.8155e-11,4.09394e-07,0.000130576,-2933316080.42
2,167.228,-4.5338e-11,3.65257e-07,9.3289e-05,-2933316080.42
3,167.48,-7.31973e-11,3.05637e-07,5.40014e-05,-2933316080.42
4,167.761,8.29041e-11,3.1539e-07,8.39994e-06,-2933316080.42
5,168.043,2.35465e-10,4.08507e-07,-3.74828e-05,-2933316080.42
6,168.326,4.54524e-11,3.88069e-07,-6.01829e-05,-2933316080.42
7,168.581,4.97124e-11,4.88721e-07,-6.99596e-05,-2933316080.42
8,168.866,-3.35843e-11,3.9772e-07,-7.53956e-05,-2933316080.42
9,169.152,-2.86114e-12,5.40921e-07,-1.98116e-05,-2933316080.42
10,169.438,-1.77152e-11,6.94852e-07,3.61085e-05,-2933316080.42
11,169.726,1.42561e-11,7.33966e-07,9.34957e-05,-2933316080.42
12,169.986,-1.77646e-11,5.30815e-07,0.000152443,-2933316080.42
13,170.275,-1.48585e-11,6.863e-07,0.000211706,-2933316080.42
14,170.565,5.29767e-11,5.3979e-07,0.000215766,-2933316080.42
15,170.857,4.00293e-11,6.21735e-07,0.000214717,-2933316080.42
16,171.149,4.38792e-11,5.49158e-07,0.000219491,-2933316080.42
17,171.413,6.15434e-11,5.69319e-07,0.00023544,-2933316080.42
18,171.708,2.85376e-11,4.33302e-07,0.000251545,-2933316080.42
19,172.003,4.09758e-12,4.62366e-07,0.000307726,-2933316080.42
20,172.299,1.24121e-10,4.07067e-07,0.00037661,-2933316080.42
21,172.567,6.43471e-11,4.53525e-07,0.000420365,-2933316080.42
22,172.865,4.42516e-11,4.31347e-07,0.000354841,-2933316080.42
23,173.165,6.5897e-11,3.83642e-07,0.000288877,-2933316080.42
24,173.465,1.17863e-10,3.52937e-07,0.00021586,-2933316080.42
25,173.766,8.12788e-11,4.35177e-07,0.000138153,-2933316080.42
26,174.038,1.18493e-10,3.78707e-07,6.27777e-05,-2933316080.42
27,174.342,1.04936e-10,4.37324e-07,5.97127e-05,-2933316080.42
28,174.646,1.25521e-11,4.13778e-07,5.66836e-05,-2933316080.42
29,174.952,7.53956e-11,5.44835e-07,6.98798e-05,-2933316080.42
30,175.259,1.05303e-10,6.32238e-07,0.00010218,-2933316080.42
31,175.535,6.64595e-11,6.94577e-07,0.000134633,-2933316080.42
32,175.844,1.24128e-10,4.41577e-07,0.000113373,-2933316080.42
33,176.154,1.50401e-10,7.28933e-07,8.5036e-05,-2933316080.42
34,176.465,2.09399e-10,5.92202e-07,5.97371e-05,-2933316080.42
35,176.745,2.78247e-10,4.61396e-07,4.12913e-05,-2933316080.42
36,177.058,4.18627e-10,5.60742e-07,2.278e-05,-2933316080.42
37,177.372,5.1692e-10,5.13938e-07,0.00011243,-2933316080.42
38,177.687,6.55079e-10,4.19784e-07,0.00024177,-2933316080.42
39,178.004,8.44351e-10,3.91274e-07,0.000356231,-2933316080.42
40,178.289,8.36607e-10,4.66998e-07,0.000389062,-2933316080.42
41,178.608,9.4515e-10,3.58482e-07,0.000422144,-2933316080.42
42,178.927,1.26229e-09,1.16182e-07,0.000328685,-2933316080.42
43,179.248,1.74169e-09,2.73724e-07,0.000144054,-2933316080.42
44,179.57,2.25522e-09,3.42155e-07,-4.00719e-05,-2933316080.42
45,179.861,2.82943e-09,4.65955e-07,-4.03365e-05,-2933316080.42
46,180.185,2.79753e-09,6.07759e-07,-4.06149e-05,-2933316080.42
47,180.51,2.25233e-09,5.05804e-07,6.92693e-05,-2933316080.42
48,180.836,1.54368e-09,6.30051e-07,0.00032452,-2933316080.42
49,181.131,1.03363e-09,5.8611e-07,0.000581107,-2933316080.42
50,181.46,8.51523e-10,6.53389e-07,0.000649021,-2933316080.42
51,181.79,7.4761e-10,5.15199e-07,0.000685936,-2933316080.42
52,182.121,8.34888e-10,7.77663e-07,0.000667635,-2933316080.42
53,182.453,8.4829e-10,8.57721e-07,0.000506846,-2933316080.42
54,182.753,8.64395e-10,9.03193e-07,0.000345183,-2933316080.42
55,183.088,8.07819e-10,8.94373e-07,0.000335128,-2933316080.42
56,183.424,7.80523e-10,1.07786e-06,0.000388747,-2933316080.42
57,183.761,6.11159e-10,8.34084e-07,0.000449337,-2933316080.42
58,184.099,6.3704e-10,5.74013e-07,0.00055441,-2933316080.42
59,184.404,4.98301e-10,5.58475e-07,0.000659874,-2933316080.42
60,184.745,6.08638e-10,4.48521e-07,0.000776159,-2933316080.42
61,185.087,6.80896e-10,4.66523e-07,0.000900372,-2933316080.42
62,185.43,7.07677e-10,8.17122e-07,0.00102597,-2933316080.42
63,185.74,5.66488e-10,9.70324e-07,0.00120811,-2933316080.42
64,186.086,4.7158e-10,8.78413e-07,0.00139294,-2933316080.42
65,186.433,2.88593e-10,5.10005e-07,0.00148298,-2933316080.42
66,186.781,1.89007e-10,2.64031e-07,0.00143104,-2933316080.42
67,187.13,1.48865e-10,5.23258e-07,0.00137875,-2933316080.42
68,187.446,1.91473e-10,5.79068e-07,0.00130426,-2933316080.42
69,187.798,1.29179e-10,4.43844e-07,0.00122419,-2933316080.42
70,188.151,5.44494e-11,3.20562e-07,0.0011911,-2933316080.42
71,188.506,5.24528e-11,3.23511e-07,0.00129764,-2933316080.42
72,188.862,3.82335e-11,3.31803e-07,0.00140424,-2933316080.42
73,189.184,2.69809e-11,4.18854e-07,0.00150045,-2933316080.42
74,189.542,7.0957e-11,6.46171e-07,0.00159148,-2933316080.42
75,189.902,5.79943e-11,-1.36725e-07,0.00167119,-2933316080.42
76,190.264,4.33415e-11,2.59823e-07,0.00164077,-2933316080.42
77,190.59,2.95737e-11,3.95338e-07,0.00160962,-2933316080.42
78,190.954,2.17072e-11,8.48935e-07,0.00154653,-2933316080.42
79,191.319,9.05295e-11,6.55428e-07,0.0014532,-2933316080.42
80,191.686,7.54815e-11,5.78873e-07,0.00135926,-2933316080.42
81,192.054,1.29556e-11,3.46331e-07,0.00150167,-2933316080.42
82,192.387,3.80544e-11,6.06699e-07,0.00165792,-2933316080.42
83,192.757,3.56471e-11,9.65993e-07,0.00184717,-2933316080.42
84,193.13,5.06495e-11,1.05797e-06,0.00209183,-2933316080.42
85,193.503,1.03703e-10,8.63546e-07,0.00233744,-2933316080.42
86,193.841,4.13208e-11,8.47432e-07,0.00249232,-2933316080.42
87,194.217,4.34009e-11,1.22795e-06,0.00262555,-2933316080.42
88,194.595,5.39985e-11,1.4344e-06,0.00278055,-2933316080.42
89,194.975,8.44735e-11,1.02712e-06,0.00301259,-2933316080.42
90,195.356,1.0226e-10,1.28029e-06,0.0032455,-2933316080.42
91,195.7,8.68959e-11,8.3226e-07,0.00361134,-2933316080.42
92,196.083,7.24613e-11,8.53335e-07,0.00405216,-2933316080.42
93,196.469,4.00298e-11,8.2846e-07,0.00448396,-2933316080.42
94,196.855,1.99958e-10,1.52111e-06,0.00475476,-2933316080.42
95,197.244,5.16539e-11,8.03469e-07,0.00502803,-2933316080.42
96,197.594,1.25264e-10,1.59061e-06,0.00537374,-2933316080.42
97,197.986,8.68273e-11,1.43121e-06,0.00579811,-2933316080.42
98,198.378,9.07555e-11,1.49356e-06,0.00622464,-2933316080.42
99,198.773,6.58843e-11,1.56511e-06,0.00692084,-2933316080.42
100,199.129,3.23213e-10,1.67339e-06,0.00764836,-2933316080.42
101,199.526,2.25716e-10,5.48919e-06,0.00844448,-2933316080.42
102,199.925,-4.4539e-11,3.89062e-06,0.00936908,-2933316080.42
103,200.326,1.41401e-10,3.03132e-07,0.0103068,-2933316080.42
104,200.728,2.13621e-10,7.62069e-07,0.0116365,-2933316080.42
105,201.091,2.39575e-10,3.76477e-07,0.0130882,-2933316080.42
106,201.496,-1.54733e-12,3.39827e-07,0.0146854,-2933316080.42
107,201.903,3.18704e-11,5.09057e-07,0.0168291,-2933316080.42
108,202.311,3.61897e-10,7.21119e-07,0.0189944,-2933316080.42
109,202.721,-2.014e-10,3.20031e-07,0.0214686,-2933316080.42
110,203.092,1.91195e-10,5.91468e-07,0.0241342,-2933316080.42
111,203.505,1.55608e-09,9.30451e-07,0.026889,-2933316080.42
112,203.92,4.78913e-10,7.44468e-07,0.0311481,-2933316080.42
113,204.337,-2.8791e-10,1.53697e-06,0.0354367,-2933316080.42
114,204.713,-1.51637e-09,2.77819e-06,0.0403534,-2933316080.42
115,205.133,4.21316e-09,6.45561e-07,0.0460026,-2933316080.42
116,205.555,-2.33902e-09,1.28754e-06,0.0516982,-2933316080.42
117,205.978,7.27195e-10,9.53815e-07,0.0596565,-2933316080.42
118,206.404,-2.31546e-10,1.03295e-06,0.0679305,-2933316080.42
119,206.788,1.30518e-09,1.34035e-06,0.0776405,-2933316080.42
120,207.216,-1.427e-10,7.80626e-07,0.0903427,-2933316080.42
