OBJECT,MASS,D,PA,INCL,CMC
NGC 628,38,7.3,20,7,1h36m41.8s +15d47m00s
NGC 925,45.8,9.2,287,66,2h27m16.5s +33d34m44s
NGC 1569,0.75,2,112,63,4h30m49.0s +64d50m53s
NGC 2366,6.49,3.4,40,64,7h28m53.4s +69d12m51s
NGC 2403,25.8,3.2,124,63,7h36m51.1s +65d36m3s
Ho II,5.95,3.4,177,41,8h19m5.0s +70d43m12s
M81 DwA,0.12,3.6,49,23,8h23m56s +71d1m45s
DDO53,0.6,3.6,132,31,8h34m7.2s +66d10m54s
NGC 2841,85.8,14.1,153,74,9h22m2.6s +50d58m35s
NGC 2903,43.5,8.9,204,65,9h32m10.1s +21d30m4s
Ho I,1.39,3.8,50,12,9h40m32.3s +71d10m56s
NGC 2976,1.36,3.6,335,65,9h47m15.3s +67d55m0s
NGC 3031,36.4,3.6,330,59,9h55m33.1s +69d3m55s
NGC 3077,8.81,3.8,45,46,10h3m19.1s +68d44m2s
M81 DwB,0.25,5.3,321,44,10h5m30.6s +70d21m52s
NGC 3184,30.7,11.1,179,16,10h18m17.0s +41d25m28s
NGC 3198,101.7,13.8,215,72,10h19m55.0s +45d32m59s
IC 2574,14.8,4,56,53,10h28m27.7s +68d24m59s
NGC 3351,11.9,10.1,192,41,10h43m57.7s +11d42m14s
NGC 3521,80.2,10.7,340,73,11h5m48.6s -0d2m9s
NGC 3621,70.7,6.6,345,65,11h18m16.5s -32d48m51s
NGC 3627,8.18,9.3,173,62,11h20m15.0s +12d59m30s
NGC 4214,4.08,2.9,65,44,12h15m39.2s +36d19m37s
NGC 4449,11,4.2,230,60,12h28m11.9s +44d5m40s
NGC 4736,4,4.7,296,41,12h50m53.0s +41d7m13s
DDO154,3.58,4.3,230,66,12h54m5.9s +27d9m10s
NGC 4826,5.48,7.5,121,65,12h56m43.6s +21d41m0s
NGC 5055,91,10.1,102,59,13h15m49.2s +42d1m45s
NGC 5194,25.4,8,172,42,13h29m52.7s +47d11m43s
NGC 5236,17,4.5,225,24,13h37m0.9s -29d51m57s
NGC 5457,141.7,7.4,39,18,14h3m12.6s +54d20m57s
NGC 6946,41.5,5.9,243,33,20h34m52.2s +60d9m14s
NGC 7331,91.3,14.7,168,76,22h37m4.1s +34d24m57s
NGC 7793,8.88,3.9,290,50,23h57m49.7s -32d35m28s
